0	-0.04	0.00	0.04	-0.05	0.03	0.12	-0.02	0.16	0.35	-0.06	0.33	0.72	-0.53	0.15	0.83
2	-0.06	0.03	0.13	0.00	0.23	0.47	0.18	0.69	1.19	0.26	1.17	2.09	-0.08	0.98	2.03
4	-0.08	0.00	0.08	-0.21	0.01	0.23	-0.35	0.18	0.71	-0.50	0.48	1.45	-0.01	1.05	2.11
6	-0.07	0.00	0.07	-0.26	-0.08	0.11	-0.66	-0.24	0.18	-1.34	-0.45	0.43	-1.58	-0.23	1.12
8	-0.08	-0.01	0.05	-0.33	-0.14	0.04	-1.00	-0.54	-0.08	-1.95	-1.05	-0.16	-2.38	-1.03	0.32
10	-0.06	-0.01	0.04	-0.25	-0.10	0.06	-0.76	-0.42	-0.08	-1.48	-0.87	-0.27	-2.06	-1.00	0.05
12	-0.06	-0.01	0.04	-0.16	-0.02	0.11	-0.36	-0.11	0.14	-0.71	-0.25	0.21	-1.10	-0.34	0.43
14	-0.08	-0.02	0.04	-0.11	0.02	0.15	-0.11	0.14	0.39	-0.15	0.31	0.76	-0.49	0.35	1.18
16	-0.09	-0.02	0.05	-0.09	0.04	0.17	-0.02	0.24	0.51	0.08	0.57	1.05	-0.16	0.70	1.55
18	-0.09	-0.02	0.06	-0.07	0.06	0.19	-0.01	0.26	0.53	0.08	0.58	1.08	-0.12	0.69	1.51
20	-0.07	0.00	0.06	-0.05	0.07	0.20	-0.03	0.23	0.48	-0.03	0.46	0.94	-0.26	0.48	1.22
22	-0.05	0.01	0.07	-0.05	0.07	0.19	-0.07	0.16	0.39	-0.18	0.28	0.73	-0.47	0.20	0.87
24	-0.03	0.02	0.08	-0.06	0.05	0.17	-0.12	0.08	0.29	-0.31	0.10	0.51	-0.71	-0.06	0.58
26	-0.03	0.02	0.08	-0.07	0.03	0.14	-0.17	0.01	0.19	-0.40	-0.05	0.31	-0.93	-0.27	0.39
28	-0.03	0.02	0.07	-0.09	0.01	0.11	-0.21	-0.05	0.11	-0.45	-0.15	0.16	-1.05	-0.40	0.25
30	-0.03	0.01	0.06	-0.10	0.00	0.09	-0.25	-0.09	0.06	-0.47	-0.21	0.06	-1.07	-0.45	0.17
32	-0.05	0.01	0.06	-0.11	-0.02	0.08	-0.28	-0.12	0.03	-0.48	-0.24	0.00	-1.01	-0.44	0.13
34	-0.06	0.00	0.06	-0.12	-0.03	0.07	-0.29	-0.14	0.01	-0.48	-0.25	-0.02	-0.89	-0.38	0.13
36	-0.06	0.00	0.07	-0.13	-0.03	0.07	-0.29	-0.15	0.00	-0.45	-0.23	-0.01	-0.75	-0.28	0.19
38	-0.06	0.01	0.08	-0.13	-0.03	0.08	-0.27	-0.13	0.02	-0.38	-0.17	0.03	-0.60	-0.14	0.33
40	-0.05	0.02	0.08	-0.11	-0.01	0.09	-0.21	-0.07	0.07	-0.30	-0.08	0.14	-0.42	0.05	0.52
42	-0.04	0.03	0.10	-0.08	0.02	0.12	-0.14	0.01	0.15	-0.21	0.03	0.28	-0.22	0.26	0.74
